"
                            لوازم و خوارک حیوانات خانگی و پرندگان زینتی - مشاوره در امر خریدوفروش انواع حیوانات - تحویل رایگان در محل 
                            
",مهرداد کاظمی,44090216-09125144924,,منطقه 5,"
                           آریاشهر-بلوارفردس، انتهای خ ابراهیمی شمالی، جنب پیتزاونوس 
                        ",,
"
                            تعمیر دینام - استارت - تعمیر کولر - گاز کولر - خدمات پس از فروش سپاهان باطری ایرانی و خارجی
                            
",مجید رازقی,22522775-09128079181,,حومه تهران,"
                           تهران، مجیدیه شمالی، خ امیرنیا، نبش کوچه صاحب الزمان  پلاک: 33 
                        ",,
"
                            سازنده دستگاههای اتوماتیک
                            
",سعید میرکوهی,33736722,,منطقه 12,"
                           میدان خراسان، خ خاوران، روبروی فرهنگسرای خاوران  پلاک: 492 
                        ",,
"
                            کتاب و لوازم التحریر
                            
",حسن رحیمی,77803823,,منطقه 8,"
                           رسالت، مترو علم و صنعت، خ حیدرخانی   پلاک: 27 
                        ",,
"
                            طراح و ساخت انواع المنت صنعتی و تهیه و توزیع لوازم صنعتی
                            
",شهاب زندیه,33960283,,منطقه 12,"
                           لاله زار جنوبی-بالاتر از ک خندان- پاساژ اخوان طبقه دوم  پلاک: 78 
                        ",,دارد
"
                            عایق های ساختمانی
                            
",حامد فریدونی,66193934,9121075898,منطقه 18,"
                           بازار آهن شادآباد، مجتمع تجاری پارسیان، بلوک اسفند  پلاک: 207 
                        ",,
"
                            پایگاه انتقال خون
                            
",,77479378,,منطقه 14,"
                           خيابان پيروزي ،   بين خيابان اول و دوم نيروي هوايي پلاك271 
                        ",,
"
                            تعمیرگاه اتومبیل و تعمیر موتور - جلوبندی - برق و کولر - تعویض روغن موتور و گیربکس اتوماتیک - تعمیر گیربکس اتوماتیک - تعمیر تخصصی بنز و BMW و لکسوس - تویوتا - هیوندای - کیا
                            
",حمید ابراهیمی,77865552,,منطقه 4,"
                           تهرانپارس - فرجام - سراج - بعداز گلستان یکم   پلاک: 79 
                        ",,
"
                            قوه قضائیه، سازمان ثبت و اسناد و املاک کشور
                            
",اسماعیل صالحی عمرانی,66873884,,منطقه 11,"
                           مترو نواب- خ اسکندری جنوبی-  پلاک: 309 طبقه 1 
                        ",,
"
                            اسلحه ومهمات شکاری
                            
",حسین ترک نژاد,66842267-66897451,,منطقه 12,"
                           امام خمینی، چهارراه کمالی، روبروی درب جنوبی اداره اسلحه مهمات  پلاک: 482 
                        ",,
"
                            بورس کلیه ماشین الات و لوازم طلاسازی-ابکاری-گوهر تراشی-جواهر شناسی-حکاکی-ترازوهای دیجیتال - ابزار زرگری
                            
",اکبر شربافی خسرقی,55576212-55576213-55630052,,منطقه 12,"
                           15خرداد، پله های مسجد امام، ورودی پاساژ شناور  پلاک: 7 
                        ",,
